CustomerID,Revenue,Orders,Quantity
12346.0,77183.6,1,74215
12347.0,4310.0,7,2458
12348.0,1797.24,4,2341
12349.0,1757.55,1,631
12350.0,334.4,1,197
12352.0,2506.04,8,536
12353.0,89.0,1,20
12354.0,1079.4,1,530
12355.0,459.4,1,240
12356.0,2811.43,3,1591
12357.0,6207.67,1,2708
12358.0,1168.06,2,248
12359.0,6310.03,4,1609
12360.0,2662.06,3,1165
12361.0,189.9,1,91
12362.0,5226.23,10,2229
12363.0,552.0,2,408
12364.0,1313.1,4,1506
12365.0,641.38,2,174
12367.0,168.9,1,173
12370.0,3541.94,4,2352
12371.0,1887.96,2,591
12372.0,1298.04,3,794
12373.0,364.6,1,197
12374.0,742.9300000000001,1,342
12375.0,457.5,2,178
12377.0,1628.12,2,944
12378.0,4008.62,1,2529
12379.0,852.24,2,407
12380.0,2724.81,4,1127
12381.0,1845.31,5,808
12383.0,1850.56,5,1532
12384.0,585.27,2,126
12386.0,401.9,2,354
12388.0,2780.66,6,1462
12390.0,549.84,1,353
12391.0,439.66,1,293
12393.0,1582.6000000000001,4,816
12394.0,1272.48,2,819
12395.0,3018.63,12,2118
12397.0,2409.9,2,1263
12398.0,1635.6599999999999,1,1394
12399.0,1108.65,4,1178
12401.0,84.3,1,11
12402.0,225.6,1,94
12403.0,427.7,1,96
12405.0,1710.39,1,857
12406.0,3415.3,2,1818
12407.0,1708.1200000000001,5,1416
12408.0,2888.55,5,1409
12409.0,11072.67,3,5551
12410.0,693.3299999999999,2,211
12412.0,1226.88,3,829
12413.0,758.1,3,286
12414.0,562.41,3,300
12415.0,124914.53,21,77374
12417.0,3649.1,9,1552
12418.0,668.58,1,407
12420.0,600.39,1,345
12421.0,807.04,4,484
12422.0,803.5600000000001,3,370
12423.0,1859.31,8,1339
12424.0,1760.96,2,740
12425.0,777.2,1,496
12426.0,582.73,1,258
12427.0,825.8,3,533
12428.0,7956.46,9,3536
12429.0,3750.4,4,1557
12430.0,256.4,1,117
12431.0,6419.95,15,2896
12432.0,5059.32,5,1801
12433.0,13375.87,7,11071
